"Time [s]","Committed size","Free size","Used size"
5.42,1880064000,0,1880064000
6.42,1888256000,0,1888256000
7.42,1896448000,0,1896448000
8.42,1904640000,0,1904640000
9.42,1910784000,0,1910784000
10.42,1916928000,0,1916928000
11.42,1923072000,0,1923072000
12.42,1929216000,0,1929216000
13.42,1935360000,0,1935360000
14.42,1941504000,0,1941504000
15.43,1945600000,0,1945600000
16.43,1984512000,0,1984512000
17.43,1990656000,0,1990656000
18.43,1994752000,0,1994752000
19.43,2002944000,0,2002944000
20.43,2009088000,0,2009088000
21.43,2015232000,0,2015232000
22.43,2021376000,0,2021376000
23.43,2027520000,0,2027520000
24.43,2037760000,0,2037760000
25.44,2041856000,0,2041856000
26.44,2045952000,0,2045952000
27.44,2052096000,0,2052096000
28.44,2058240000,0,2058240000
29.44,2062336000,0,2062336000
30.44,2066432000,0,2066432000
31.44,2070528000,0,2070528000
32.44,2074624000,0,2074624000
33.45,2078720000,0,2078720000
34.45,2082816000,0,2082816000
35.45,2086912000,0,2086912000
36.45,2093056000,0,2093056000
37.45,2099200000,0,2099200000
38.45,2103296000,0,2103296000
39.45,2109440000,0,2109440000
40.45,2113536000,0,2113536000
41.45,2117632000,0,2117632000
42.46,2123776000,0,2123776000
43.46,2127872000,0,2127872000
44.46,2131968000,0,2131968000
45.46,2136064000,0,2136064000
46.46,2140160000,0,2140160000
47.46,2146304000,0,2146304000
48.46,2152448000,0,2152448000
49.46,2156544000,0,2156544000
50.47,2160640000,0,2160640000
51.47,2162688000,0,2162688000
52.47,2166784000,0,2166784000
53.47,2172928000,0,2172928000
54.47,2177024000,0,2177024000
55.47,2181120000,0,2181120000
56.47,2185216000,0,2185216000
57.47,2189312000,0,2189312000
58.47,2191360000,0,2191360000
59.47,2197504000,0,2197504000
60.47,2203648000,0,2203648000
61.47,2207744000,0,2207744000
62.47,2211840000,0,2211840000
63.48,2215936000,0,2215936000
64.48,2222080000,0,2222080000
65.48,2226176000,0,2226176000
66.48,2228224000,0,2228224000
67.48,2232320000,0,2232320000
68.48,2238464000,0,2238464000
69.48,2242560000,0,2242560000
70.48,2246656000,0,2246656000
71.48,2250752000,0,2250752000
72.48,2256896000,0,2256896000
73.49,2260992000,0,2260992000
74.49,2267136000,0,2267136000
75.49,2273280000,0,2273280000
76.49,2277376000,0,2277376000
77.49,2281472000,0,2281472000
78.49,2285568000,0,2285568000
79.49,2291712000,0,2291712000
80.49,2297856000,0,2297856000
81.49,2301952000,0,2301952000
82.49,2304000000,0,2304000000
83.5,2308096000,0,2308096000
84.5,2312192000,0,2312192000
85.5,2316288000,0,2316288000
86.5,2320384000,0,2320384000
87.5,2328576000,0,2328576000
88.5,2334720000,0,2334720000
89.5,2338816000,0,2338816000
90.5,2342912000,0,2342912000
91.5,2347008000,0,2347008000
92.5,2353152000,0,2353152000
93.5,2359296000,0,2359296000
94.5,2365440000,0,2365440000
95.5,2377728000,0,2377728000
96.51,2385920000,0,2385920000
97.51,2390016000,0,2390016000
98.51,2396160000,0,2396160000
99.51,2406400000,0,2406400000
100.51,2430976000,0,2430976000
101.51,2500608000,1009664000,1490944000
102.51,2500608000,1443840000,1056768000
103.51,2500608000,1439744000,1060864000
104.51,2500608000,1433600000,1067008000
105.52,2500608000,1427456000,1073152000
106.52,2500608000,1419264000,1081344000
107.52,2500608000,1380352000,1120256000
108.52,2500608000,1372160000,1128448000
109.52,2500608000,1361920000,1138688000
110.52,2500608000,1357824000,1142784000
111.52,2500608000,1347584000,1153024000
112.52,2500608000,1341440000,1159168000
113.52,2500608000,1331200000,1169408000
114.52,2500608000,1327104000,1173504000
115.52,2500608000,1312768000,1187840000
116.53,2500608000,1300480000,1200128000
117.53,2500608000,1292288000,1208320000
118.53,2500608000,1286144000,1214464000
119.53,2500608000,1275904000,1224704000
120.53,2500608000,1267712000,1232896000
121.53,2500608000,1257472000,1243136000
122.53,2500608000,1247232000,1253376000
123.53,2500608000,1241088000,1259520000
124.53,2500608000,1234944000,1265664000
125.53,2500608000,1224704000,1275904000
126.53,2500608000,1218560000,1282048000
127.53,2500608000,1206272000,1294336000
128.54,2500608000,1196032000,1304576000
129.54,2500608000,1189888000,1310720000
130.54,2500608000,1179648000,1320960000
131.54,2500608000,1169408000,1331200000
132.54,2500608000,1159168000,1341440000
133.54,2500608000,1153024000,1347584000
134.54,2500608000,1146880000,1353728000
135.54,2500608000,1136640000,1363968000
136.54,2500608000,1126400000,1374208000
137.54,2500608000,1118208000,1382400000
138.54,2500608000,1110016000,1390592000
139.54,2500608000,1069056000,1431552000
140.54,2500608000,1058816000,1441792000
141.54,2500608000,1052672000,1447936000
142.55,2500608000,1046528000,1454080000
143.55,2500608000,1032192000,1468416000
144.55,2500608000,1017856000,1482752000
145.55,2500608000,1013760000,1486848000
146.55,2500608000,1007616000,1492992000
147.55,2500608000,999424000,1501184000
148.55,2500608000,989184000,1511424000
149.55,2500608000,978944000,1521664000
150.55,2500608000,968704000,1531904000
151.55,2500608000,958464000,1542144000
152.55,2500608000,948224000,1552384000
153.55,2500608000,942080000,1558528000
154.55,2500608000,927744000,1572864000
155.56,2500608000,919552000,1581056000
156.56,2500608000,909312000,1591296000
157.56,2500608000,903168000,1597440000
158.56,2500608000,897024000,1603584000
159.56,2500608000,890880000,1609728000
160.56,2500608000,884736000,1615872000
161.56,2500608000,880640000,1619968000
162.56,2500608000,874496000,1626112000
163.56,2500608000,860160000,1640448000
164.56,2500608000,849920000,1650688000
165.56,2500608000,845824000,1654784000
166.57,2500608000,835584000,1665024000
167.57,2500608000,829440000,1671168000
168.57,2500608000,821248000,1679360000
169.57,2500608000,813056000,1687552000
170.57,2500608000,806912000,1693696000
171.57,2500608000,802816000,1697792000
172.57,2500608000,788480000,1712128000
173.57,2500608000,784384000,1716224000
174.57,2500608000,776192000,1724416000
175.58,2500608000,772096000,1728512000
176.58,2500608000,763904000,1736704000
177.58,2500608000,755712000,1744896000
178.58,2500608000,751616000,1748992000
179.58,2500608000,745472000,1755136000
180.58,2500608000,733184000,1767424000
181.58,2500608000,722944000,1777664000
182.58,2500608000,718848000,1781760000
183.58,2500608000,714752000,1785856000
184.59,2500608000,700416000,1800192000
185.59,2500608000,696320000,1804288000
186.59,2500608000,692224000,1808384000
187.59,2500608000,686080000,1814528000
188.59,2500608000,673792000,1826816000
189.59,2500608000,663552000,1837056000
190.59,2500608000,659456000,1841152000
191.59,2500608000,655360000,1845248000
192.59,2500608000,645120000,1855488000
193.59,2500608000,630784000,1869824000
194.6,2500608000,626688000,1873920000
195.6,2500608000,622592000,1878016000
196.6,2500608000,612352000,1888256000
197.6,2500608000,602112000,1898496000
198.6,2500608000,598016000,1902592000
199.6,2500608000,589824000,1910784000
200.6,2500608000,579584000,1921024000
201.6,2500608000,575488000,1925120000
202.6,2500608000,571392000,1929216000
203.6,2500608000,561152000,1939456000
204.6,2500608000,546816000,1953792000
205.6,2500608000,538624000,1961984000
206.6,2500608000,532480000,1968128000
207.61,2500608000,528384000,1972224000
208.61,2500608000,520192000,1980416000
209.61,2500608000,516096000,1984512000
210.61,2500608000,505856000,1994752000
211.61,2500608000,495616000,2004992000
212.61,2500608000,481280000,2019328000
213.61,2500608000,477184000,2023424000
214.61,2500608000,473088000,2027520000
215.61,2500608000,466944000,2033664000
216.61,2500608000,452608000,2048000000
217.61,2500608000,446464000,2054144000
218.61,2500608000,442368000,2058240000
219.61,2500608000,428032000,2072576000
220.61,2500608000,417792000,2082816000
221.61,2500608000,411648000,2088960000
222.61,2500608000,407552000,2093056000
223.62,2500608000,397312000,2103296000
224.62,2500608000,393216000,2107392000
225.62,2500608000,389120000,2111488000
226.62,2500608000,376832000,2123776000
227.62,2500608000,366592000,2134016000
228.62,2500608000,362496000,2138112000
229.62,2500608000,356352000,2144256000
230.62,2500608000,350208000,2150400000
231.62,2500608000,333824000,2166784000
232.62,2500608000,327680000,2172928000
233.62,2500608000,321536000,2179072000
234.62,2500608000,311296000,2189312000
235.62,2500608000,299008000,2201600000
236.62,2500608000,292864000,2207744000
237.62,2500608000,286720000,2213888000
238.63,2500608000,274432000,2226176000
239.63,2500608000,268288000,2232320000
240.63,2500608000,258048000,2242560000
241.63,2500608000,251904000,2248704000
242.63,2500608000,245760000,2254848000
243.63,2500608000,233472000,2267136000
244.63,2500608000,215040000,2285568000
245.63,2500608000,208896000,2291712000
246.63,2500608000,202752000,2297856000
247.63,2500608000,184320000,2316288000
248.63,2500608000,172032000,2328576000
249.63,2500608000,165888000,2334720000
250.64,2500608000,153600000,2347008000
251.64,2500608000,141312000,2359296000
252.64,2500608000,129024000,2371584000
253.64,2500608000,122880000,2377728000
254.64,2500608000,116736000,2383872000
255.64,2500608000,110592000,2390016000
256.64,2500608000,98304000,2402304000
257.64,2500608000,92160000,2408448000
258.64,2500608000,79872000,2420736000
259.64,2500608000,67584000,2433024000
260.64,2500608000,55296000,2445312000
261.64,2500608000,49152000,2451456000
262.64,2500608000,10240000,2490368000
263.64,2502656000,0,2502656000
264.64,2521088000,0,2521088000
265.65,2529280000,0,2529280000
266.65,2543616000,0,2543616000
267.65,2549760000,0,2549760000
268.65,2562048000,0,2562048000
269.65,2568192000,0,2568192000
270.65,2574336000,0,2574336000
271.65,2586624000,0,2586624000
272.65,2594816000,0,2594816000
273.65,2607104000,0,2607104000
274.65,2613248000,0,2613248000
275.65,2625536000,0,2625536000
276.65,2631680000,0,2631680000
277.66,2637824000,0,2637824000
278.66,2650112000,0,2650112000
279.66,2656256000,0,2656256000
280.66,2668544000,0,2668544000
281.66,2672640000,0,2672640000
282.66,2693120000,0,2693120000
283.66,2705408000,0,2705408000
284.66,2709504000,0,2709504000
285.66,2721792000,0,2721792000
286.66,2727936000,0,2727936000
287.66,2734080000,0,2734080000
288.66,2740224000,0,2740224000
289.67,2750464000,0,2750464000
290.67,2756608000,0,2756608000
291.67,2824192000,1720320000,1103872000
292.67,2824192000,1818624000,1005568000
293.67,2824192000,1812480000,1011712000
294.67,2824192000,1800192000,1024000000
295.67,2824192000,1794048000,1030144000
296.67,2824192000,1757184000,1067008000
297.67,2824192000,1744896000,1079296000
298.67,2824192000,1738752000,1085440000
299.68,2824192000,1732608000,1091584000
300.68,2824192000,1714176000,1110016000
301.68,2824192000,1703936000,1120256000
302.68,2824192000,1697792000,1126400000
303.68,2824192000,1693696000,1130496000
304.68,2824192000,1683456000,1140736000
305.68,2824192000,1677312000,1146880000
306.68,2824192000,1673216000,1150976000
307.68,2824192000,1669120000,1155072000
308.68,2824192000,1665024000,1159168000
309.68,2824192000,1660928000,1163264000
310.68,2824192000,1656832000,1167360000
311.69,2824192000,1654784000,1169408000
312.69,2824192000,1644544000,1179648000
313.69,2824192000,1632256000,1191936000
314.69,2824192000,1630208000,1193984000
315.69,2824192000,1619968000,1204224000
316.69,2824192000,1609728000,1214464000
317.69,2824192000,1599488000,1224704000
318.69,2824192000,1595392000,1228800000
319.69,2824192000,1591296000,1232896000
320.7,2824192000,1581056000,1243136000
321.7,2824192000,1576960000,1247232000
322.7,2824192000,1572864000,1251328000
327.94,2824192000,1564672000,1259520000
328.94,2824192000,1556480000,1267712000
329.94,2824192000,1552384000,1271808000
330.94,2824192000,1548288000,1275904000
331.95,2824192000,1544192000,1280000000
332.95,2824192000,1540096000,1284096000
333.95,2824192000,1529856000,1294336000
334.95,2824192000,1527808000,1296384000
335.95,2824192000,1523712000,1300480000
336.95,2824192000,1519616000,1304576000
337.95,2824192000,1515520000,1308672000
338.95,2824192000,1511424000,1312768000
339.95,2824192000,1501184000,1323008000
340.95,2824192000,1490944000,1333248000
341.95,2824192000,1488896000,1335296000
342.96,2824192000,1478656000,1345536000
343.96,2824192000,1468416000,1355776000
344.96,2824192000,1464320000,1359872000
345.96,2824192000,1454080000,1370112000
346.96,2824192000,1449984000,1374208000
347.96,2824192000,1445888000,1378304000
