"Time [s]","Committed size","Free size","Used size"
3.65,5103616000,3022848000,2080768000
4.65,5103616000,2562048000,2541568000
5.65,5103616000,2146304000,2957312000
6.65,5103616000,1714176000,3389440000
7.65,5103616000,1239040000,3864576000
8.65,5103616000,794624000,4308992000
9.66,5103616000,323584000,4780032000
10.66,5103616000,3577856000,1525760000
11.66,5103616000,3147776000,1955840000
12.66,5103616000,2709504000,2394112000
13.66,5103616000,2234368000,2869248000
14.66,5103616000,1800192000,3303424000
15.66,5103616000,1329152000,3774464000
16.66,5103616000,888832000,4214784000
17.66,5103616000,458752000,4644864000
18.66,5103616000,3688448000,1415168000
19.66,5103616000,3258368000,1845248000
20.66,5103616000,2830336000,2273280000
21.66,5103616000,2373632000,2729984000
22.66,5103616000,1949696000,3153920000
23.66,5103616000,1499136000,3604480000
24.67,5103616000,1087488000,4016128000
25.67,5103616000,681984000,4421632000
26.67,5103616000,239616000,4864000000
27.67,5103616000,3506176000,1597440000
28.67,5103616000,3112960000,1990656000
29.67,5103616000,2717696000,2385920000
30.67,5103616000,2299904000,2803712000
31.67,5103616000,1925120000,3178496000
32.67,5103616000,1517568000,3586048000
33.67,5103616000,1148928000,3954688000
34.67,5103616000,784384000,4319232000
35.67,5103616000,393216000,4710400000
36.67,5103616000,3731456000,1372160000
37.67,5103616000,3352576000,1751040000
38.67,5103616000,3006464000,2097152000
39.68,5103616000,2639872000,2463744000
40.68,5103616000,2304000000,2799616000
41.68,5103616000,1976320000,3127296000
42.68,5103616000,1622016000,3481600000
43.68,5103616000,1296384000,3807232000
44.68,5103616000,940032000,4163584000
45.68,5103616000,624640000,4478976000
46.68,5103616000,311296000,4792320000
47.68,5103616000,3651584000,1452032000
48.68,5103616000,3340288000,1763328000
49.68,5103616000,3031040000,2072576000
50.68,5103616000,2684928000,2418688000
51.68,5103616000,2375680000,2727936000
52.69,5103616000,2031616000,3072000000
53.69,5103616000,1724416000,3379200000
54.69,5103616000,1413120000,3690496000
55.69,5103616000,1077248000,4026368000
56.7,5103616000,765952000,4337664000
57.7,5103616000,458752000,4644864000
58.7,5103616000,3772416000,1331200000
59.7,5103616000,3457024000,1646592000
60.7,5103616000,3147776000,1955840000
61.7,5103616000,2813952000,2289664000
62.7,5103616000,2508800000,2594816000
63.7,5103616000,2197504000,2906112000
64.7,5103616000,1857536000,3246080000
65.7,5103616000,1554432000,3549184000
66.7,5103616000,1218560000,3885056000
67.7,5103616000,917504000,4186112000
68.71,5103616000,610304000,4493312000
69.71,5103616000,276480000,4827136000
70.71,5103616000,3631104000,1472512000
71.71,5103616000,3328000000,1775616000
72.71,5103616000,2990080000,2113536000
73.71,5103616000,2691072000,2412544000
74.71,5103616000,2351104000,2752512000
75.71,5103616000,2043904000,3059712000
76.71,5103616000,1736704000,3366912000
77.71,5103616000,1388544000,3715072000
78.72,5103616000,1093632000,4009984000
79.72,5103616000,751616000,4352000000
80.72,5103616000,417792000,4685824000
81.72,5103616000,3747840000,1355776000
82.72,5103616000,3440640000,1662976000
83.72,5103616000,3139584000,1964032000
84.72,5103616000,2801664000,2301952000
85.72,5103616000,2502656000,2600960000
86.72,5103616000,2179072000,2924544000
87.72,5103616000,1878016000,3225600000
88.72,5103616000,1564672000,3538944000
89.72,5103616000,1218560000,3885056000
90.72,5103616000,880640000,4222976000
91.72,5103616000,509952000,4593664000
92.72,5103616000,151552000,4952064000
93.72,5136384000,3395584000,1740800000
94.73,5136384000,3022848000,2113536000
95.73,5136384000,2584576000,2551808000
96.73,5136384000,2181120000,2955264000
97.73,5136384000,1724416000,3411968000
98.73,5136384000,1290240000,3846144000
99.73,5136384000,858112000,4278272000
100.73,5136384000,387072000,4749312000
101.73,5136384000,3506176000,1630208000
102.73,5136384000,3053568000,2082816000
103.73,5136384000,2576384000,2560000000
104.73,5136384000,2123776000,3012608000
105.73,5136384000,1662976000,3473408000
106.73,5136384000,1175552000,3960832000
107.73,5136384000,727040000,4409344000
108.73,5136384000,243712000,4892672000
109.73,5169152000,3348480000,1820672000
110.73,5169152000,2918400000,2250752000
111.73,5169152000,2473984000,2695168000
112.73,5169152000,2064384000,3104768000
113.73,5169152000,1638400000,3530752000
114.73,5169152000,1216512000,3952640000
115.74,5169152000,802816000,4366336000
116.74,5169152000,409600000,4759552000
117.74,5201920000,3643392000,1558528000
118.74,5201920000,3272704000,1929216000
119.74,5201920000,2861056000,2340864000
120.74,5201920000,2476032000,2725888000
121.74,5201920000,2064384000,3137536000
122.74,5201920000,1687552000,3514368000
123.74,5201920000,1269760000,3932160000
124.74,5201920000,882688000,4319232000
125.74,5201920000,487424000,4714496000
126.74,5201920000,3698688000,1503232000
127.74,5201920000,3344384000,1857536000
128.74,5201920000,2955264000,2246656000
129.74,5201920000,2617344000,2584576000
130.74,5201920000,2256896000,2945024000
131.74,5201920000,1921024000,3280896000
132.74,5201920000,1589248000,3612672000
133.74,5201920000,1288192000,3913728000
134.75,5201920000,993280000,4208640000
135.75,5201920000,661504000,4540416000
136.75,5201920000,356352000,4845568000
137.75,5201920000,3622912000,1579008000
138.75,5201920000,3334144000,1867776000
139.75,5201920000,3008512000,2193408000
140.75,5201920000,2719744000,2482176000
141.75,5201920000,2437120000,2764800000
142.75,5201920000,2107392000,3094528000
143.75,5201920000,1826816000,3375104000
144.75,5201920000,1503232000,3698688000
145.75,5201920000,1230848000,3971072000
146.75,5201920000,911360000,4290560000
147.75,5201920000,624640000,4577280000
148.76,5201920000,303104000,4898816000
149.76,5201920000,3567616000,1634304000
150.76,5201920000,3289088000,1912832000
151.76,5201920000,2979840000,2222080000
152.76,5201920000,2707456000,2494464000
153.76,5201920000,2381824000,2820096000
154.76,5201920000,2093056000,3108864000
155.76,5201920000,1757184000,3444736000
156.76,5201920000,1462272000,3739648000
157.76,5201920000,1159168000,4042752000
158.77,5201920000,817152000,4384768000
159.77,5201920000,503808000,4698112000
160.77,5234688000,3723264000,1511424000
161.77,5234688000,3395584000,1839104000
162.77,5234688000,3031040000,2203648000
163.77,5234688000,2689024000,2545664000
164.77,5234688000,2320384000,2914304000
165.77,5234688000,1966080000,3268608000
166.77,5234688000,1574912000,3659776000
167.77,5234688000,1210368000,4024320000
168.77,5234688000,800768000,4433920000
169.77,5234688000,407552000,4827136000
170.77,5234688000,3557376000,1677312000
171.77,5234688000,3160064000,2074624000
172.78,5234688000,2723840000,2510848000
173.78,5234688000,2312192000,2922496000
174.78,5234688000,1890304000,3344384000
175.78,5234688000,1437696000,3796992000
176.78,5234688000,1011712000,4222976000
177.78,5234688000,550912000,4683776000
178.78,5234688000,3657728000,1576960000
179.78,5234688000,3219456000,2015232000
180.78,5234688000,2785280000,2449408000
181.78,5234688000,2312192000,2922496000
182.78,5234688000,1878016000,3356672000
183.78,5234688000,1400832000,3833856000
184.78,5234688000,960512000,4274176000
185.78,5234688000,518144000,4716544000
186.78,5234688000,3553280000,1681408000
187.79,5234688000,3094528000,2140160000
188.79,5234688000,2609152000,2625536000
189.79,5234688000,2146304000,3088384000
190.79,5234688000,1687552000,3547136000
191.79,5234688000,1191936000,4042752000
192.79,5234688000,722944000,4511744000
193.79,5234688000,3743744000,1490944000
194.79,5234688000,3241984000,1992704000
195.79,5234688000,2801664000,2433024000
196.79,5234688000,2340864000,2893824000
197.79,5234688000,1943552000,3291136000
198.79,5234688000,1499136000,3735552000
199.79,5234688000,1110016000,4124672000
200.79,5234688000,739328000,4495360000
201.79,5234688000,335872000,4898816000
202.79,5234688000,3457024000,1777664000
203.79,5234688000,3108864000,2125824000
204.79,5234688000,2740224000,2494464000
205.79,5234688000,2402304000,2832384000
206.8,5234688000,2080768000,3153920000
207.8,5234688000,1710080000,3524608000
208.8,5234688000,1382400000,3852288000
209.8,5234688000,1021952000,4212736000
210.8,5234688000,698368000,4536320000
211.8,5234688000,335872000,4898816000
212.8,5234688000,3524608000,1710080000
213.8,5234688000,3205120000,2029568000
214.8,5234688000,2850816000,2383872000
215.8,5234688000,2531328000,2703360000
216.8,5234688000,2213888000,3020800000
217.8,5234688000,1869824000,3364864000
218.8,5234688000,1552384000,3682304000
219.81,5234688000,1204224000,4030464000
220.81,5234688000,888832000,4345856000
221.81,5234688000,567296000,4667392000
222.81,5234688000,3690496000,1544192000
223.81,5234688000,3379200000,1855488000
224.81,5234688000,3063808000,2170880000
225.81,5234688000,2717696000,2516992000
226.81,5234688000,2404352000,2830336000
227.81,5234688000,2052096000,3182592000
228.81,5234688000,1744896000,3489792000
229.81,5234688000,1396736000,3837952000
230.82,5234688000,1093632000,4141056000
231.82,5234688000,788480000,4446208000
232.82,5234688000,454656000,4780032000
233.82,5234688000,3610624000,1624064000
234.82,5234688000,3303424000,1931264000
235.82,5234688000,2975744000,2258944000
236.82,5234688000,2600960000,2633728000
237.82,5234688000,2246656000,2988032000
238.82,5234688000,1841152000,3393536000
239.82,5234688000,1462272000,3772416000
240.82,5234688000,1081344000,4153344000
241.82,5234688000,638976000,4595712000
242.82,5234688000,3684352000,1550336000
243.83,5234688000,3248128000,1986560000
244.83,5234688000,2797568000,2437120000
245.83,5234688000,2332672000,2902016000
246.83,5234688000,1890304000,3344384000
247.83,5234688000,1413120000,3821568000
248.83,5234688000,954368000,4280320000
249.83,5234688000,495616000,4739072000
250.83,5234688000,3461120000,1773568000
251.83,5234688000,3006464000,2228224000
252.83,5234688000,2525184000,2709504000
253.83,5234688000,2054144000,3180544000
254.83,5234688000,1607680000,3627008000
255.83,5234688000,1144832000,4089856000
256.83,5234688000,714752000,4519936000
257.83,5242880000,3688448000,1554432000
258.83,5242880000,3246080000,1996800000
259.84,5242880000,2816000000,2426880000
260.84,5242880000,2371584000,2871296000
261.84,5242880000,1972224000,3270656000
262.84,5242880000,1525760000,3717120000
263.84,5242880000,1124352000,4118528000
264.84,5242880000,692224000,4550656000
265.84,5242880000,305152000,4937728000
266.84,5242880000,3350528000,1892352000
267.84,5242880000,2965504000,2277376000
268.84,5242880000,2547712000,2695168000
269.84,5242880000,2162688000,3080192000
270.84,5242880000,1755136000,3487744000
271.84,5242880000,1388544000,3854336000
272.84,5242880000,991232000,4251648000
273.84,5242880000,647168000,4595712000
274.85,5242880000,212992000,5029888000
275.85,5242880000,3354624000,1888256000
276.85,5242880000,3041280000,2201600000
277.85,5242880000,2691072000,2551808000
278.85,5242880000,2394112000,2848768000
279.85,5242880000,2060288000,3182592000
280.85,5242880000,1769472000,3473408000
281.85,5242880000,1454080000,3788800000
282.85,5242880000,1155072000,4087808000
283.85,5242880000,841728000,4401152000
284.85,5242880000,544768000,4698112000
285.85,5242880000,3702784000,1540096000
286.85,5242880000,3373056000,1869824000
287.86,5242880000,3094528000,2148352000
288.86,5242880000,2779136000,2463744000
289.86,5242880000,2498560000,2744320000
290.86,5242880000,2203648000,3039232000
291.86,5242880000,1927168000,3315712000
292.86,5242880000,1628160000,3614720000
293.86,5242880000,1363968000,3878912000
294.86,5242880000,1062912000,4179968000
295.86,5242880000,788480000,4454400000
296.86,5242880000,503808000,4739072000
297.86,5242880000,3639296000,1603584000
298.86,5242880000,3358720000,1884160000
299.86,5242880000,3041280000,2201600000
300.86,5242880000,2754560000,2488320000
301.86,5242880000,2465792000,2777088000
302.87,5242880000,2140160000,3102720000
303.87,5242880000,1839104000,3403776000
304.87,5242880000,1507328000,3735552000
305.87,5242880000,1193984000,4048896000
306.87,5242880000,839680000,4403200000
307.87,5242880000,509952000,4732928000
308.87,5242880000,3614720000,1628160000
309.87,5242880000,3270656000,1972224000
310.87,5242880000,2887680000,2355200000
311.87,5242880000,2502656000,2740224000
